Park,Incidents,Open Cases,Closed-Incident Only,Closed: Found,Closed: Not found
El Malpais National Monument,1,0,1,0,0
Fort Bowie National Historic Site,1,0,1,0,0
Fort Matanzas National Monument,1,0,1,0,0
Kaloko-Honokōhau National Historical Park,1,0,1,0,0
Lyndon B. Johnson National Historical Park,1,0,1,0,0
Monocacy National Battlefield,1,0,1,0,0
Morristown National Historical Park,1,0,1,0,0
Pea Ridge National Military Park,1,0,1,0,0
Pecos National Historical Park,1,0,1,0,0
Petrified Forest National Park,1,0,1,0,0
Petroglyph National Monument,1,0,1,0,0
Richmond National Battlefield Park,1,0,0,0,0
San Antonio Missions National Historical Park,1,0,1,0,0
Sunset Crater Volcano National Monument,1,0,1,0,0
Valley Forge National Historical Park,1,0,1,0,0
Vicksburg National Military Park,1,0,0,1,0
Lake Mead National Recreation Area,null,1,0,0,1
Lake Roosevelt National Recreation Area,null,null,0,0,0
null,8088,229,6739,583,30
